Q,pct,t,rmse,mae,max_abs
-45000.0,12.5,6.0,0.32588260324645263,0.2408904252090115,11.396990527343746
-45000.0,12.5,7.0,0.27745521261019496,0.1999325701883952,11.328121496582028
-45000.0,12.5,8.0,0.22906526949637396,0.1540696452534994,11.256671643066412
-45000.0,12.5,9.0,0.1863683720615371,0.10741096613213436,11.18799603271485
-45000.0,12.5,10.0,0.15429852841328776,0.06451157962483721,11.124800683593747
-45000.0,12.5,11.0,0.13692316266717852,0.03882934037177193,11.068076623535163
-45000.0,12.5,12.0,0.1349997993677312,0.042279678222520586,11.018699072265619
-45000.0,12.5,13.0,0.14434830649777983,0.06990454100206163,10.97699011230469
-45000.0,12.5,14.0,0.15891198456416894,0.09595763809353298,10.943182177734371
-45000.0,12.5,15.0,0.17406518797671958,0.1173111580482313,10.917350207519533
-45000.0,12.5,16.0,0.18709080559483138,0.13339175637573245,10.899398022460943
-45000.0,12.5,17.0,0.19655968887864433,0.14410170342312284,10.88908966064453
-45000.0,12.5,18.0,0.2018076567420153,0.14950713611490885,10.885857824707031
-45000.0,12.5,19.0,0.2026380495974395,0.14977624556599933,10.889311511230474
-45000.0,12.5,20.0,0.19918085321432244,0.1451605532313368,10.898559716796882
-45000.0,12.5,21.0,0.19182852154330202,0.13597985469048393,10.9130877319336
-45000.0,12.5,22.0,0.18122868395901018,0.12263710620700413,10.932080847167967
-45000.0,12.5,23.0,0.16835080193471644,0.10559922445068358,10.954808276367189
-45000.0,12.5,24.0,0.15462052158771644,0.08543684501681859,10.980369750976564
-45000.0,12.5,25.0,0.14212220272108333,0.06309141928751627,11.008103149414069
-45000.0,12.5,26.0,0.1337310580853011,0.040991292579074426,11.037245532226564
-45000.0,12.5,27.0,0.13275282197812863,0.029632608282199453,11.067279736328132
-45000.0,12.5,28.0,0.14161751598669617,0.050620577220865895,11.0974572631836
-45000.0,12.5,29.0,0.16060667470013432,0.08276542861124675,11.127413537597661
-45000.0,12.5,30.0,0.18812866776067833,0.1180996527783203,11.156260278320318
-50000.0,25.0,0.25,0.41871487103879734,0.2598659636802843,10.080371179199219
-50000.0,25.0,0.5,0.27577858451774084,0.1852871212400988,10.917256433105464
-50000.0,25.0,0.75,0.18365578208530708,0.11867399221327038,11.41765803222657
-50000.0,25.0,1.0,0.22722024032062219,0.16304359816894531,11.301805676269538
-50000.0,25.0,2.0,0.3472643407693899,0.22446239668891058,12.692919360351567
-50000.0,25.0,3.0,0.4329957746015568,0.3000090231548394,12.948539196777347
-50000.0,25.0,4.0,0.45445208792857006,0.32802167144219296,13.03487631835938
-50000.0,25.0,5.0,0.43551030948019387,0.3218203439619954,13.029374291992184
-50000.0,25.0,6.0,0.3934617137629298,0.29281545129150394,12.976820568847657
-50000.0,25.0,7.0,0.3405491425274754,0.25028363806057397,12.90364893798828
-50000.0,25.0,8.0,0.28542811057024065,0.20102830228705515,12.824825354003906
-50000.0,25.0,9.0,0.23437953219243274,0.15009131039984808,12.747983898925781
-50000.0,25.0,10.0,0.1923682403108204,0.10186661505900065,12.676769555664066
-50000.0,25.0,11.0,0.16359407954458835,0.060868897800835486,12.61276981201172
-50000.0,25.0,12.0,0.15051887484931778,0.0382960609894477,12.556772424316407
-50000.0,25.0,13.0,0.15165392841745126,0.05184126368543839,12.509080676269534
-50000.0,25.0,14.0,0.16183204218192876,0.08109102703504771,12.469853161621089
-50000.0,25.0,15.0,0.17550858400780445,0.10610396968736435,12.439220678710939
-50000.0,25.0,16.0,0.18878953091068926,0.12560891022189666,12.41714208984375
-50000.0,25.0,17.0,0.19941275199508435,0.13937014216091576,12.403389880371094
-50000.0,25.0,18.0,0.20620353264672125,0.14738265999511724,12.39755860595703
-50000.0,25.0,19.0,0.2086673114429386,0.14976383770833335,12.399088598632815
-50000.0,25.0,20.0,0.20676779533203768,0.14672410708496095,12.407365966796874
-50000.0,25.0,21.0,0.200827161035635,0.1385488031823731,12.421814965820317
-50000.0,25.0,22.0,0.19151782065592304,0.1256015206548394,12.441413256835943
-50000.0,25.0,23.0,0.1799094123918695,0.10835518771389432,12.46565375976563
-50000.0,25.0,24.0,0.16761751861309848,0.08747025367065431,12.493513317871091
-50000.0,25.0,25.0,0.15697506213551127,0.06394487606947158,12.524399291992182
-50000.0,25.0,26.0,0.15105050086069505,0.043858500549587655,12.557402966308587
-50000.0,25.0,27.0,0.1530787425505621,0.043792465937093114,12.59206140136719
-50000.0,25.0,28.0,0.16517027299401196,0.06625373890638558,12.62758032226563
-50000.0,25.0,29.0,0.18738334251101366,0.0987508529375543,12.66345700683594
-50000.0,25.0,30.0,0.21813568236993752,0.135625422933214,12.698834509277347
